1704764400000,1.09370000,1.09370000,1.09350000,1.09350000,21572.30000000,1704764699999,23590.08794000,48,836.00000000,914.32310000,0
1704764700000,1.09360000,1.09390000,1.09350000,1.09390000,91208.80000000,1704764999999,99753.08109000,58,82351.40000000,90065.97652000,0
1704765000000,1.09390000,1.09410000,1.09390000,1.09410000,63263.60000000,1704765299999,69207.94750000,68,51271.80000000,56089.53906000,0
1704765300000,1.09410000,1.09410000,1.09400000,1.09400000,15306.20000000,1704765599999,16745.78441000,38,8016.10000000,8770.41501000,0
1704765600000,1.09410000,1.09430000,1.09410000,1.09430000,48224.00000000,1704765899999,52763.38639000,56,35787.60000000,39156.26725000,0
1704765900000,1.09420000,1.09430000,1.09420000,1.09420000,24508.40000000,1704766199999,26817.55831000,66,4670.30000000,5110.70929000,0
1704766200000,1.09420000,1.09430000,1.09420000,1.09420000,15745.50000000,1704766499999,17228.97554000,34,2494.40000000,2729.62192000,0
1704766500000,1.09430000,1.09430000,1.09420000,1.09430000,18882.20000000,1704766799999,20661.69181000,37,7885.70000000,8629.32151000,0
1704766800000,1.09430000,1.09440000,1.09420000,1.09440000,32960.90000000,1704767099999,36068.64597000,49,25550.00000000,27959.52009000,0
1704767100000,1.09430000,1.09440000,1.09430000,1.09430000,31672.40000000,1704767399999,34660.20433000,62,10970.10000000,12005.67744000,0
1704767400000,1.09430000,1.09440000,1.09420000,1.09430000,38753.80000000,1704767699999,42407.36400000,50,3618.10000000,3959.44695000,0
1704767700000,1.09420000,1.09440000,1.09420000,1.09440000,45774.70000000,1704767999999,50090.28714000,47,32436.70000000,35495.74933000,0
1704768000000,1.09440000,1.09440000,1.09430000,1.09440000,19665.30000000,1704768299999,21520.35158000,43,6137.90000000,6717.31776000,0
1704768300000,1.09430000,1.09440000,1.09430000,1.09430000,23526.30000000,1704768599999,25746.18288000,43,13527.90000000,14804.93376000,0
1704768600000,1.09430000,1.09430000,1.09420000,1.09420000,35975.30000000,1704768899999,39366.58750000,41,4769.30000000,5219.04499000,0
1704768900000,1.09420000,1.09430000,1.09420000,1.09420000,15894.60000000,1704769199999,17392.03009000,42,1587.70000000,1737.42011000,0
1704769200000,1.09420000,1.09430000,1.09420000,1.09420000,16242.90000000,1704769499999,17773.25173000,36,2705.50000000,2960.62865000,0
1704769500000,1.09420000,1.09430000,1.09410000,1.09410000,40188.40000000,1704769799999,43974.13124000,67,3939.30000000,4310.76817000,0
1704769800000,1.09410000,1.09430000,1.09410000,1.09430000,46206.20000000,1704770099999,50557.57928000,60,24086.00000000,26354.95548000,0
1704770100000,1.09420000,1.09440000,1.09420000,1.09430000,61164.90000000,1704770399999,66931.81786000,71,39179.50000000,42874.14579000,0
1704770400000,1.09430000,1.09440000,1.09410000,1.09410000,144577.60000000,1704770699999,158202.78484000,83,26399.60000000,28886.76531000,0
1704770700000,1.09410000,1.09420000,1.09410000,1.09410000,46746.50000000,1704770999999,51147.10337000,68,17577.20000000,19232.97224000,0
1704771000000,1.09410000,1.09420000,1.09400000,1.09400000,25944.10000000,1704771299999,28385.02495000,60,5443.40000000,5955.66264000,0
1704771300000,1.09400000,1.09420000,1.09400000,1.09410000,37734.10000000,1704771599999,41284.36786000,50,26850.10000000,29376.78038000,0
1704771600000,1.09420000,1.09420000,1.09410000,1.09410000,23071.60000000,1704771899999,25244.12467000,47,14871.10000000,16271.95762000,0
1704771900000,1.09420000,1.09420000,1.09410000,1.09410000,21937.70000000,1704772199999,24003.24607000,50,12085.00000000,13223.40700000,0
1704772200000,1.09410000,1.09420000,1.09410000,1.09410000,15275.60000000,1704772499999,16713.65036000,63,6164.00000000,6744.64880000,0
1704772500000,1.09420000,1.09420000,1.09400000,1.09400000,17587.50000000,1704772799999,19242.07069000,42,5873.50000000,6426.25415000,0
1704772800000,1.09400000,1.09410000,1.09400000,1.09410000,16429.90000000,1704773099999,17975.35111000,39,10405.10000000,11384.21991000,0
1704773100000,1.09400000,1.09410000,1.09400000,1.09400000,14306.90000000,1704773399999,15652.31570000,63,5671.00000000,6204.64110000,0
1704773400000,1.09410000,1.09410000,1.09390000,1.09390000,17933.40000000,1704773699999,19618.51712000,56,1055.80000000,1155.12669000,0
1704773700000,1.09390000,1.09400000,1.09350000,1.09350000,25894.20000000,1704773999999,28323.22259000,71,5998.50000000,6561.80877000,0
1704774000000,1.09350000,1.09360000,1.09340000,1.09340000,34569.50000000,1704774299999,37803.23971000,62,15157.90000000,16576.67944000,0
1704774300000,1.09350000,1.09350000,1.09320000,1.09320000,16927.30000000,1704774599999,18508.08444000,52,4552.90000000,4978.32247000,0
1704774600000,1.09320000,1.09330000,1.09320000,1.09320000,15546.20000000,1704774899999,16995.68585000,62,5800.10000000,6341.24933000,0
1704774900000,1.09320000,1.09330000,1.09320000,1.09320000,47147.70000000,1704775199999,51541.90159000,66,506.50000000,553.74175000,0
1704775200000,1.09310000,1.09320000,1.09310000,1.09310000,28719.90000000,1704775499999,31394.25938000,66,5366.90000000,5867.09508000,0
1704775500000,1.09310000,1.09320000,1.09310000,1.09310000,48258.20000000,1704775799999,52753.59277000,89,25543.50000000,27924.15420000,0
1704775800000,1.09310000,1.09320000,1.09310000,1.09320000,21450.50000000,1704776099999,23447.72262000,86,1810.70000000,1979.45724000,0
1704776100000,1.09310000,1.09330000,1.09310000,1.09320000,127272.20000000,1704776399999,139136.21548000,150,95905.70000000,104848.06267000,0
1704776400000,1.09320000,1.09350000,1.09320000,1.09340000,127441.70000000,1704776699999,139341.18037000,102,88273.30000000,96515.31218000,0
1704776700000,1.09340000,1.09350000,1.09340000,1.09340000,27434.50000000,1704776999999,29997.30375000,124,4214.50000000,4608.55575000,0
1704777000000,1.09340000,1.09340000,1.09340000,1.09340000,23096.40000000,1704777299999,25253.60376000,64,0.00000000,0.00000000,0
1704777300000,1.09340000,1.09340000,1.09330000,1.09330000,37670.00000000,1704777599999,41186.86817000,52,1162.60000000,1271.18684000,0
1704777600000,1.09330000,1.09340000,1.09300000,1.09310000,49875.60000000,1704777899999,54519.56639000,83,8038.00000000,8786.35136000,0
1704777900000,1.09300000,1.09310000,1.09270000,1.09280000,13691.90000000,1704778199999,14964.10972000,46,3349.70000000,3660.76928000,0
1704778200000,1.09270000,1.09280000,1.09270000,1.09280000,21873.70000000,1704778499999,23901.74914000,54,3571.50000000,3902.93520000,0
1704778500000,1.09270000,1.09280000,1.09270000,1.09270000,11102.40000000,1704778799999,12131.94566000,70,3531.80000000,3859.55104000,0
1704778800000,1.09270000,1.09280000,1.09260000,1.09260000,72029.60000000,1704779099999,78707.85959000,91,11613.30000000,12691.00924000,0
1704779100000,1.09260000,1.09270000,1.09260000,1.09260000,25136.20000000,1704779399999,27464.73900000,85,9268.80000000,10128.01776000,0
1704779400000,1.09260000,1.09270000,1.09260000,1.09260000,23849.40000000,1704779699999,26058.33767000,85,4832.30000000,5280.25421000,0
1704779700000,1.09260000,1.09270000,1.09260000,1.09260000,28547.70000000,1704779999999,31192.71139000,77,14943.70000000,16328.98099000,0
1704780000000,1.09270000,1.09270000,1.09260000,1.09260000,35550.30000000,1704780299999,38843.84460000,74,15868.20000000,17339.18214000,0
1704780300000,1.09260000,1.09280000,1.09260000,1.09270000,47409.80000000,1704780599999,51802.10840000,103,18531.80000000,20249.72518000,0
1704780600000,1.09270000,1.09280000,1.09270000,1.09270000,32240.90000000,1704780899999,35230.54828000,85,9168.50000000,10019.33680000,0
1704780900000,1.09280000,1.09310000,1.09280000,1.09300000,131082.90000000,1704781199999,143258.36228000,134,104397.20000000,114093.86833000,0
1704781200000,1.09310000,1.09310000,1.09300000,1.09300000,44340.20000000,1704781499999,48465.73702000,94,18984.20000000,20751.62902000,0
1704781500000,1.09310000,1.09310000,1.09300000,1.09300000,28929.40000000,1704781799999,31621.08303000,90,12488.30000000,13650.96073000,0
1704781800000,1.09300000,1.09310000,1.09280000,1.09280000,69064.20000000,1704782099999,75480.75463000,105,3588.30000000,3921.97881000,0
1704782100000,1.09280000,1.09290000,1.09280000,1.09290000,47021.40000000,1704782399999,51385.37034000,114,3844.20000000,4201.32618000,0
1704782400000,1.09280000,1.09290000,1.09280000,1.09280000,36988.60000000,1704782699999,40422.62578000,78,14837.00000000,16215.35730000,0
1704782700000,1.09290000,1.09290000,1.09280000,1.09280000,42764.30000000,1704782999999,46735.36010000,136,25330.60000000,27683.81274000,0
1704783000000,1.09280000,1.09290000,1.09280000,1.09280000,53052.10000000,1704783299999,57978.00521000,133,26703.30000000,29184.03657000,0
1704783300000,1.09280000,1.09290000,1.09270000,1.09270000,63655.10000000,1704783599999,69562.00156000,125,13757.70000000,15035.08498000,0
1704783600000,1.09270000,1.09280000,1.09250000,1.09250000,73465.30000000,1704783899999,80265.60557000,149,22650.90000000,24749.15228000,0
1704783900000,1.09250000,1.09310000,1.09250000,1.09310000,106428.30000000,1704784199999,116309.00224000,114,87508.60000000,95634.84008000,0
1704784200000,1.09310000,1.09310000,1.09300000,1.09310000,53914.10000000,1704784499999,58929.93784000,150,18265.40000000,19965.90874000,0
1704784500000,1.09300000,1.09330000,1.09300000,1.09330000,85048.50000000,1704784799999,92968.98941000,99,63204.70000000,69092.18753000,0
1704784800000,1.09320000,1.09330000,1.09320000,1.09320000,22433.80000000,1704785099999,24525.28451000,59,6543.50000000,7154.00855000,0
1704785100000,1.09320000,1.09350000,1.09320000,1.09350000,50877.30000000,1704785399999,55627.39231000,112,22894.90000000,25032.60361000,0
1704785400000,1.09340000,1.09380000,1.09340000,1.09380000,44523.30000000,1704785699999,48687.89873000,130,27705.00000000,30297.07683000,0
1704785700000,1.09370000,1.09380000,1.09370000,1.09370000,58819.30000000,1704785999999,64332.82164000,124,21532.30000000,23552.02974000,0
1704786000000,1.09370000,1.09380000,1.09370000,1.09370000,30187.90000000,1704786299999,33017.23950000,97,7332.70000000,8020.50726000,0
1704786300000,1.09370000,1.09380000,1.09370000,1.09380000,19534.40000000,1704786599999,21365.50471000,185,7314.30000000,8000.38134000,0
1704786600000,1.09370000,1.09380000,1.09370000,1.09370000,38380.50000000,1704786899999,41977.53638000,132,7835.30000000,8570.25114000,0
1704786900000,1.09380000,1.09380000,1.09350000,1.09360000,56618.30000000,1704787199999,61923.27446000,156,22406.90000000,24507.39280000,0
1704787200000,1.09360000,1.09360000,1.09320000,1.09320000,70370.00000000,1704787499999,76943.73968000,155,14850.50000000,16238.44288000,0
1704787500000,1.09330000,1.09330000,1.09290000,1.09290000,81628.10000000,1704787799999,89224.45696000,147,30425.40000000,33257.56697000,0
